Country Name,Country Code,Series Name,Series Code,YR2023
Bolivia,BOL,"Population ages 15-64, female",SP.POP.1564.FE.IN,3983680
Bolivia,BOL,"Population ages 15-64, male",SP.POP.1564.MA.IN,4023659
Bolivia,BOL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,259430
Bolivia,BOL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,344899
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,49074
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,27910
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6182488
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6206083
Bolivia,BOL,"Population, total",SP.POP.TOTL,12388571
Bolivia,BOL,Urban population,SP.URB.TOTL,8818928
Bosnia and Herzegovina,BIH,"Population ages 0-14, female",SP.POP.0014.FE.IN,230854
Bosnia and Herzegovina,BIH,"Population ages 0-14, male",SP.POP.0014.MA.IN,242419
Bosnia and Herzegovina,BIH,"Population ages 15-64, female",SP.POP.1564.FE.IN,1059154
Bosnia and Herzegovina,BIH,"Population ages 15-64, male",SP.POP.1564.MA.IN,1079526
Bosnia and Herzegovina,BIH,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,258415
Bosnia and Herzegovina,BIH,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,340479
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,74322
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,46805
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1630487
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1580360
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3210847
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1614061
Botswana,BWA,"Population ages 0-14, female",SP.POP.0014.FE.IN,425422
Botswana,BWA,"Population ages 0-14, male",SP.POP.0014.MA.IN,436460
Botswana,BWA,"Population ages 15-64, female",SP.POP.1564.FE.IN,868035
Botswana,BWA,"Population ages 15-64, male",SP.POP.1564.MA.IN,844652
Botswana,BWA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,40550
Botswana,BWA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,60233
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,8736
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,4859
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1353690
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1321662
Botswana,BWA,"Population, total",SP.POP.TOTL,2675352
Botswana,BWA,Urban population,SP.URB.TOTL,1949449
Brazil,BRA,"Population ages 0-14, female",SP.POP.0014.FE.IN,21212882
Brazil,BRA,"Population ages 0-14, male",SP.POP.0014.MA.IN,22078349
Brazil,BRA,"Population ages 15-64, female",SP.POP.1564.FE.IN,76319909
Brazil,BRA,"Population ages 15-64, male",SP.POP.1564.MA.IN,74709454
Brazil,BRA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,9453312
Brazil,BRA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,12648539
Brazil,BRA,"Population ages 80 and above, female",SP.POP.80UP.FE,2363043
Brazil,BRA,"Population ages 80 and above, male",SP.POP.80UP.MA,1375607
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,110181331
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,106241115
Brazil,BRA,"Population, total",SP.POP.TOTL,216422446
Brazil,BRA,Urban population,SP.URB.TOTL,189992937
British Virgin Islands,VGB,"Population ages 0-14, female",SP.POP.0014.FE.IN,2110
British Virgin Islands,VGB,"Population ages 0-14, male",SP.POP.0014.MA.IN,2200
British Virgin Islands,VGB,"Population ages 15-64, female",SP.POP.1564.FE.IN,12443
British Virgin Islands,VGB,"Population ages 15-64, male",SP.POP.1564.MA.IN,11475
British Virgin Islands,VGB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,1522
British Virgin Islands,VGB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1786
British Virgin Islands,VGB,"Population ages 80 and above, female",SP.POP.80UP.FE,234
British Virgin Islands,VGB,"Population ages 80 and above, male",SP.POP.80UP.MA,155
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,16340
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,15197
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31538
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,15690
